id,name,sprite,types,hp,attack,defense,specialAttack,specialDefense,speed,height,weight,abilities,thunder,thunder2,some
258,Mudkip,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/258.png,water,50,70,50,50,50,40,4,76,"torrent, damp",,,0
259,Marshtomp,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/259.png,"water, ground",70,85,70,60,70,50,7,280,"torrent, damp",,,0
260,Swampert,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/260.png,"water, ground",100,110,90,85,90,60,15,819,"torrent, damp",,,0
261,Poochyena,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/261.png,dark,35,55,35,30,30,35,5,136,"run-away, quick-feet, rattled",,,0
262,Mightyena,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/262.png,dark,70,90,70,60,60,70,10,370,"intimidate, quick-feet, moxie",,,0
263,Zigzagoon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/263.png,normal,38,30,41,30,41,60,4,175,"pickup, gluttony, quick-feet",,,0
264,Linoone,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/264.png,normal,78,70,61,50,61,100,5,325,"pickup, gluttony, quick-feet",,,0
265,Wurmple,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/265.png,bug,45,45,35,20,30,20,3,36,"shield-dust, run-away",,,0
266,Silcoon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/266.png,bug,50,35,55,25,25,15,6,100,shed-skin,,,0
267,Beautifly,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/267.png,"bug, flying",60,70,50,100,50,65,10,284,"swarm, rivalry",,,0
268,Cascoon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/268.png,bug,50,35,55,25,25,15,7,115,shed-skin,,,0
269,Dustox,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/269.png,"bug, poison",60,50,70,50,90,65,12,316,"shield-dust, compound-eyes",,,0
270,Lotad,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/270.png,"water, grass",40,30,30,40,50,30,5,26,"swift-swim, rain-dish, own-tempo",,,0
271,Lombre,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/271.png,"water, grass",60,50,50,60,70,50,12,325,"swift-swim, rain-dish, own-tempo",,,0
272,Ludicolo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/272.png,"water, grass",80,70,70,90,100,70,15,550,"swift-swim, rain-dish, own-tempo",,,0
273,Seedot,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/273.png,grass,40,40,50,30,30,30,5,40,"chlorophyll, early-bird, pickpocket",,,0
274,Nuzleaf,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/274.png,"grass, dark",70,70,40,60,40,60,10,280,"chlorophyll, early-bird, pickpocket",,,0
275,Shiftry,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/275.png,"grass, dark",90,100,60,90,60,80,13,596,"chlorophyll, wind-rider, pickpocket",,,0
276,Taillow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/276.png,"normal, flying",40,55,30,30,30,85,3,23,"guts, scrappy",,,0
277,Swellow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/277.png,"normal, flying",60,85,60,75,50,125,7,198,"guts, scrappy",,,0
278,Wingull,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/278.png,"water, flying",40,30,30,55,30,85,6,95,"keen-eye, hydration, rain-dish",,,0
279,Pelipper,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/279.png,"water, flying",60,50,100,95,70,65,12,280,"keen-eye, drizzle, rain-dish",,,0
280,Ralts,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/280.png,"psychic, fairy",28,25,25,45,35,40,4,66,"synchronize, trace, telepathy",,,0
281,Kirlia,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/281.png,"psychic, fairy",38,35,35,65,55,50,8,202,"synchronize, trace, telepathy",,,0
282,Gardevoir,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/282.png,"psychic, fairy",68,65,65,125,115,80,16,484,"synchronize, trace, telepathy",,,0
283,Surskit,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/283.png,"bug, water",40,30,32,50,52,65,5,17,"swift-swim, rain-dish",,,0
284,Masquerain,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/284.png,"bug, flying",70,60,62,100,82,80,8,36,"intimidate, unnerve",,,0
285,Shroomish,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/285.png,grass,60,40,60,40,60,35,4,45,"effect-spore, poison-heal, quick-feet",,,0
286,Breloom,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/286.png,"grass, fighting",60,130,80,60,60,70,12,392,"effect-spore, poison-heal, technician",,,0
287,Slakoth,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/287.png,normal,60,60,60,35,35,30,8,240,truant,,,0
288,Vigoroth,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/288.png,normal,80,80,80,55,55,90,14,465,vital-spirit,,,0
289,Slaking,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/289.png,normal,150,160,100,95,65,100,20,1305,truant,,,0
290,Nincada,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/290.png,"bug, ground",31,45,90,30,30,40,5,55,"compound-eyes, run-away",,,0
291,Ninjask,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/291.png,"bug, flying",61,90,45,50,50,160,8,120,"speed-boost, infiltrator",,,0
292,Shedinja,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/292.png,"bug, ghost",1,90,45,30,30,40,8,12,wonder-guard,,,0
293,Whismur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/293.png,normal,64,51,23,51,23,28,6,163,"soundproof, rattled",,,0
294,Loudred,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/294.png,normal,84,71,43,71,43,48,10,405,"soundproof, scrappy",,,0
295,Exploud,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/295.png,normal,104,91,63,91,73,68,15,840,"soundproof, scrappy",,,0
296,Makuhita,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/296.png,fighting,72,60,30,20,30,25,10,864,"thick-fat, guts, sheer-force",,,0
297,Hariyama,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/297.png,fighting,144,120,60,40,60,50,23,2538,"thick-fat, guts, sheer-force",,,0
298,Azurill,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/298.png,"normal, fairy",50,20,40,20,40,20,2,20,"thick-fat, huge-power, sap-sipper",,,0
299,Nosepass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/299.png,rock,30,45,135,45,90,30,10,970,"sturdy, magnet-pull, sand-force",,,0
300,Skitty,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/300.png,normal,50,45,45,35,35,50,6,110,"cute-charm, normalize, wonder-skin",,,0
301,Delcatty,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/301.png,normal,70,65,65,55,55,90,11,326,"cute-charm, normalize, wonder-skin",,,0
302,Sableye,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/302.png,"dark, ghost",50,75,75,65,65,50,5,110,"keen-eye, stall, prankster",,,0
303,Mawile,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/303.png,"steel, fairy",50,85,85,55,55,50,6,115,"hyper-cutter, intimidate, sheer-force",,,0
304,Aron,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/304.png,"steel, rock",50,70,100,40,40,30,4,600,"sturdy, rock-head, heavy-metal",,,0
305,Lairon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/305.png,"steel, rock",60,90,140,50,50,40,9,1200,"sturdy, rock-head, heavy-metal",,,0
306,Aggron,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/306.png,"steel, rock",70,110,180,60,60,50,21,3600,"sturdy, rock-head, heavy-metal",,,0
307,Meditite,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/307.png,"fighting, psychic",30,40,55,40,55,60,6,112,"pure-power, telepathy",,,0
308,Medicham,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/308.png,"fighting, psychic",60,60,75,60,75,80,13,315,"pure-power, telepathy",,,0
309,Electrike,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/309.png,electric,40,45,40,65,40,65,6,152,"static, lightning-rod, minus",,,0
310,Manectric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/310.png,electric,70,75,60,105,60,105,15,402,"static, lightning-rod, minus",,,0
311,Plusle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/311.png,electric,60,50,40,85,75,95,4,42,"plus, lightning-rod",,,0
312,Minun,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/312.png,electric,60,40,50,75,85,95,4,42,"minus, volt-absorb",,,0
313,Volbeat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/313.png,bug,65,73,75,47,85,85,7,177,"illuminate, swarm, prankster",,,0
314,Illumise,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/314.png,bug,65,47,75,73,85,85,6,177,"oblivious, tinted-lens, prankster",,,0
315,Roselia,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/315.png,"grass, poison",50,60,45,100,80,65,3,20,"natural-cure, poison-point, leaf-guard",,,0
316,Gulpin,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/316.png,poison,70,43,53,43,53,40,4,103,"liquid-ooze, sticky-hold, gluttony",,,0
317,Swalot,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/317.png,poison,100,73,83,73,83,55,17,800,"liquid-ooze, sticky-hold, gluttony",,,0
318,Carvanha,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/318.png,"water, dark",45,90,20,65,20,65,8,208,"rough-skin, speed-boost",,,0
319,Sharpedo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/319.png,"water, dark",70,120,40,95,40,95,18,888,"rough-skin, speed-boost",,,0
320,Wailmer,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/320.png,water,130,70,35,70,35,60,20,1300,"water-veil, oblivious, pressure",,,0
321,Wailord,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/321.png,water,170,90,45,90,45,60,145,3980,"water-veil, oblivious, pressure",,,0
322,Numel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/322.png,"fire, ground",60,60,40,65,45,35,7,240,"oblivious, simple, own-tempo",,,0
323,Camerupt,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/323.png,"fire, ground",70,100,70,105,75,40,19,2200,"magma-armor, solid-rock, anger-point",,,0
324,Torkoal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/324.png,fire,70,85,140,85,70,20,5,804,"white-smoke, drought, shell-armor",,,0
325,Spoink,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/325.png,psychic,60,25,35,70,80,60,7,306,"thick-fat, own-tempo, gluttony",,,0
326,Grumpig,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/326.png,psychic,80,45,65,90,110,80,9,715,"thick-fat, own-tempo, gluttony",,,0
327,Spinda,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/327.png,normal,60,60,60,60,60,60,11,50,"own-tempo, tangled-feet, contrary",,,0
328,Trapinch,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/328.png,ground,45,100,45,45,45,10,7,150,"hyper-cutter, arena-trap, sheer-force",,,0
329,Vibrava,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/329.png,"ground, dragon",50,70,50,50,50,70,11,153,levitate,,,0
330,Flygon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/330.png,"ground, dragon",80,100,80,80,80,100,20,820,levitate,,,0
331,Cacnea,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/331.png,grass,50,85,40,85,40,35,4,513,"sand-veil, water-absorb",,,0
332,Cacturne,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/332.png,"grass, dark",70,115,60,115,60,55,13,774,"sand-veil, water-absorb",,,0
333,Swablu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/333.png,"normal, flying",45,40,60,40,75,50,4,12,"natural-cure, cloud-nine",,,0
334,Altaria,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/334.png,"dragon, flying",75,70,90,70,105,80,11,206,"natural-cure, cloud-nine",,,0
335,Zangoose,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/335.png,normal,73,115,60,60,60,90,13,403,"immunity, toxic-boost",,,0
336,Seviper,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/336.png,poison,73,100,60,100,60,65,27,525,"shed-skin, infiltrator",,,0
337,Lunatone,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/337.png,"rock, psychic",90,55,65,95,85,70,10,1680,levitate,,,0
338,Solrock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/338.png,"rock, psychic",90,95,85,55,65,70,12,1540,levitate,,,0
339,Barboach,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/339.png,"water, ground",50,48,43,46,41,60,4,19,"oblivious, anticipation, hydration",,,0
340,Whiscash,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/340.png,"water, ground",110,78,73,76,71,60,9,236,"oblivious, anticipation, hydration",,,0
341,Corphish,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/341.png,water,43,80,65,50,35,35,6,115,"hyper-cutter, shell-armor, adaptability",,,0
342,Crawdaunt,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/342.png,"water, dark",63,120,85,90,55,55,11,328,"hyper-cutter, shell-armor, adaptability",,,0
343,Baltoy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/343.png,"ground, psychic",40,40,55,40,70,55,5,215,levitate,,,0
344,Claydol,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/344.png,"ground, psychic",60,70,105,70,120,75,15,1080,levitate,,,0
345,Lileep,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/345.png,"rock, grass",66,41,77,61,87,23,10,238,"suction-cups, storm-drain",,,0
346,Cradily,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/346.png,"rock, grass",86,81,97,81,107,43,15,604,"suction-cups, storm-drain",,,0
347,Anorith,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/347.png,"rock, bug",45,95,50,40,50,75,7,125,"battle-armor, swift-swim",,,0
348,Armaldo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/348.png,"rock, bug",75,125,100,70,80,45,15,682,"battle-armor, swift-swim",,,0
349,Feebas,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/349.png,water,20,15,20,10,55,80,6,74,"swift-swim, oblivious, adaptability",,,0
350,Milotic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/350.png,water,95,60,79,100,125,81,62,1620,"marvel-scale, competitive, cute-charm",,,0
351,Castform,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/351.png,normal,70,70,70,70,70,70,3,8,forecast,,,0
352,Kecleon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/352.png,normal,60,90,70,60,120,40,10,220,"color-change, protean",,,0
353,Shuppet,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/353.png,ghost,44,75,35,63,33,45,6,23,"insomnia, frisk, cursed-body",,,0
354,Banette,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/354.png,ghost,64,115,65,83,63,65,11,125,"insomnia, frisk, cursed-body",,,0
355,Duskull,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/355.png,ghost,20,40,90,30,90,25,8,150,"levitate, frisk",,,0
356,Dusclops,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/356.png,ghost,40,70,130,60,130,25,16,306,"pressure, frisk",,,0
357,Tropius,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/357.png,"grass, flying",99,68,83,72,87,51,20,1000,"chlorophyll, solar-power, harvest",,,0
358,Chimecho,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/358.png,psychic,75,50,80,95,90,65,6,10,levitate,,,0
359,Absol,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/359.png,dark,65,130,60,75,60,75,12,470,"pressure, super-luck, justified",,,0
360,Wynaut,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/360.png,psychic,95,23,48,23,48,23,6,140,"shadow-tag, telepathy",,,0
361,Snorunt,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/361.png,ice,50,50,50,50,50,50,7,168,"inner-focus, ice-body, moody",,,0
362,Glalie,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/362.png,ice,80,80,80,80,80,80,15,2565,"inner-focus, ice-body, moody",,,0
363,Spheal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/363.png,"ice, water",70,40,50,55,50,25,8,395,"thick-fat, ice-body, oblivious",,,0
364,Sealeo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/364.png,"ice, water",90,60,70,75,70,45,11,876,"thick-fat, ice-body, oblivious",,,0
365,Walrein,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/365.png,"ice, water",110,80,90,95,90,65,14,1506,"thick-fat, ice-body, oblivious",,,0
366,Clamperl,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/366.png,water,35,64,85,74,55,32,4,525,"shell-armor, rattled",,,0
367,Huntail,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/367.png,water,55,104,105,94,75,52,17,270,"swift-swim, water-veil",,,0
368,Gorebyss,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/368.png,water,55,84,105,114,75,52,18,226,"swift-swim, hydration",,,0
369,Relicanth,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/369.png,"water, rock",100,90,130,45,65,55,10,234,"swift-swim, rock-head, sturdy",,,0
370,Luvdisc,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/370.png,water,43,30,55,40,65,97,6,87,"swift-swim, hydration",,,0
371,Bagon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/371.png,dragon,45,75,60,40,30,50,6,421,"rock-head, sheer-force",,,0
372,Shelgon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/372.png,dragon,65,95,100,60,50,50,11,1105,"rock-head, overcoat",,,0
373,Salamence,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/373.png,"dragon, flying",95,135,80,110,80,100,15,1026,"intimidate, moxie",,,0
374,Beldum,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/374.png,"steel, psychic",40,55,80,35,60,30,6,952,"clear-body, light-metal",,,0
375,Metang,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/375.png,"steel, psychic",60,75,100,55,80,50,12,2025,"clear-body, light-metal",,,0
376,Metagross,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/376.png,"steel, psychic",80,135,130,95,90,70,16,5500,"clear-body, light-metal",,,0
377,Regirock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/377.png,rock,80,100,200,50,100,50,17,2300,"clear-body, sturdy",,,0
378,Regice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/378.png,ice,80,50,100,100,200,50,18,1750,"clear-body, ice-body",,,0
379,Registeel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/379.png,steel,80,75,150,75,150,50,19,2050,"clear-body, light-metal",,,0
380,Latias,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/380.png,"dragon, psychic",80,80,90,110,130,110,14,400,levitate,,,0
381,Latios,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/381.png,"dragon, psychic",80,90,80,130,110,110,20,600,levitate,,,0
382,Kyogre,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/382.png,water,100,100,90,150,140,90,45,3520,drizzle,,,0
383,Groudon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/383.png,ground,100,150,140,100,90,90,35,9500,drought,,,0
384,Rayquaza,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/384.png,"dragon, flying",105,150,90,150,90,95,70,2065,air-lock,,,0
385,Jirachi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/385.png,"steel, psychic",100,100,100,100,100,100,3,11,serene-grace,,,0
386,Deoxys-normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/386.png,psychic,50,150,50,150,50,150,17,608,pressure,,,0
387,Turtwig,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/387.png,grass,55,68,64,45,55,31,4,102,"overgrow, shell-armor",,,0
388,Grotle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/388.png,grass,75,89,85,55,65,36,11,970,"overgrow, shell-armor",,,0
389,Torterra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/389.png,"grass, ground",95,109,105,75,85,56,22,3100,"overgrow, shell-armor",,,0
390,Chimchar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/390.png,fire,44,58,44,58,44,61,5,62,"blaze, iron-fist",,,0
391,Monferno,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/391.png,"fire, fighting",64,78,52,78,52,81,9,220,"blaze, iron-fist",,,0
392,Infernape,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/392.png,"fire, fighting",76,104,71,104,71,108,12,550,"blaze, iron-fist",,,0
393,Piplup,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/393.png,water,53,51,53,61,56,40,4,52,"torrent, competitive",,,0
394,Prinplup,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/394.png,water,64,66,68,81,76,50,8,230,"torrent, competitive",,,0
395,Empoleon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/395.png,"water, steel",84,86,88,111,101,60,17,845,"torrent, competitive",,,0
396,Starly,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/396.png,"normal, flying",40,55,30,30,30,60,3,20,"keen-eye, reckless",,,0
397,Staravia,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/397.png,"normal, flying",55,75,50,40,40,80,6,155,"intimidate, reckless",,,0
398,Staraptor,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/398.png,"normal, flying",85,120,70,50,60,100,12,249,"intimidate, reckless",,,0
399,Bidoof,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/399.png,normal,59,45,40,35,40,31,5,200,"simple, unaware, moody",,,0
400,Bibarel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/400.png,"normal, water",79,85,60,55,60,71,10,315,"simple, unaware, moody",,,0
401,Kricketot,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/401.png,bug,37,25,41,25,41,25,3,22,"shed-skin, run-away",,,0
402,Kricketune,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/402.png,bug,77,85,51,55,51,65,10,255,"swarm, technician",,,0
403,Shinx,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/403.png,electric,45,65,34,40,34,45,5,95,"rivalry, intimidate, guts",,,0
404,Luxio,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/404.png,electric,60,85,49,60,49,60,9,305,"rivalry, intimidate, guts",,,0
405,Luxray,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/405.png,electric,80,120,79,95,79,70,14,420,"rivalry, intimidate, guts",,,0
406,Budew,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/406.png,"grass, poison",40,30,35,50,70,55,2,12,"natural-cure, poison-point, leaf-guard",,,0
